,A_SOURCE,A_ID,A_MUNI,A_YEAR,A_CRASH_DATE,A_SEVERITY,A_CRASH_TIME,A_POLICE,A_CYCLIST,A_PEDESTRIAN,A_OTHER,A_LAT,A_LON,A_INTERSTATE,A_datetime,B_SOURCE,B_ID,B_MUNI,B_YEAR,B_CRASH_DATE,B_SEVERITY,B_CRASH_TIME,B_POLICE,B_CYCLIST,B_PEDESTRIAN,B_OTHER,B_LAT,B_LON,B_INTERSTATE,B_datetime,distance_m,time_diff_sec,confidence
0,BostonVZCrash,4748,BOSTON,2021,2021-02-07,2,03:19:44,,0,0,,42.33262014368461,-71.07201818804987,,2021-02-07 03:19:44,MassDOT,4933025,BOSTON,2021,2021-02-07,0,03:45:00,State,0,0,0.0,42.33274746,-71.07213447,0,2021-02-07 03:45:00,17.051698502510305,1516.0,0.7543047771490945
1,BostonVZFatality,110,BOSTON,2021,2021-02-09,1,06:03:34,,0,0,,42.38194217412896,-71.02479191627789,,2021-02-09 06:03:34,BostonVZCrash,15886,BOSTON,2021,2021-02-09,2,06:07:47,,0,0,,42.38194217412896,-71.02479191627789,,2021-02-09 06:07:47,0.0,253.0,0.9789166666666667
2,BostonVZFatality,80,BOSTON,2021,2021-03-13,1,02:40:32,,0,1,,42.34132277292787,-71.15468078289963,,2021-03-13 02:40:32,BostonVZCrash,38581,BOSTON,2021,2021-03-13,2,02:40:50,,0,1,,42.34132277292787,-71.15468078289963,,2021-03-13 02:40:50,0.0,18.0,0.9984999999999999
3,BostonVZFatality,108,BOSTON,2021,2021-05-12,1,18:22:41,,0,0,,42.28766699926072,-71.106661684122,,2021-05-12 18:22:41,BostonVZCrash,29798,BOSTON,2021,2021-05-12,2,18:23:25,,0,0,,42.28766699926072,-71.106661684122,,2021-05-12 18:23:25,0.0,44.0,0.9963333333333333
4,BostonVZFatality,134,BOSTON,2021,2021-06-19,1,20:15:31,,0,0,,42.335715823575136,-71.0312786599183,,2021-06-19 20:15:31,BostonVZCrash,23904,BOSTON,2021,2021-06-19,2,20:16:25,,0,0,,42.335715823575136,-71.0312786599183,,2021-06-19 20:16:25,0.0,54.0,0.9954999999999999
5,BostonVZFatality,29,BOSTON,2021,2021-07-03,1,10:58:22,,0,1,,42.29373744833365,-71.14603303860109,,2021-07-03 10:58:22,BostonVZCrash,14408,BOSTON,2021,2021-07-03,2,11:00:09,,0,1,,42.29373744833365,-71.14603303860109,,2021-07-03 11:00:09,0.0,107.0,0.9910833333333333
6,MassDOT,4995378,BOSTON,2021,2021-08-09,0,16:10:00,State,0,0,0.0,42.37021995,-71.06476948,1,2021-08-09 16:10:00,BostonVZCrash,10519,BOSTON,2021,2021-08-09,2,16:12:58,,0,0,,42.36957999607135,-71.06433947461069,,2021-08-09 16:12:58,79.3062372180037,178.0,0.4300230061406407
7,BostonVZFatality,21,BOSTON,2021,2021-08-12,1,16:45:42,,0,0,,42.28513266678874,-71.15645611817698,,2021-08-12 16:45:42,BostonVZCrash,13872,BOSTON,2021,2021-08-12,2,16:48:03,,0,0,,42.28513266678874,-71.15645611817698,,2021-08-12 16:48:03,0.0,141.0,0.98825
8,BostonVZCrash,9882,BOSTON,2021,2021-08-19,2,17:35:11,,1,0,,42.31941680301341,-71.07556121537029,,2021-08-19 17:35:11,MassDOT,5012166,BOSTON,2021,2021-08-19,2,18:34:00,Local,1,0,0.0,42.31933848,-71.07518223,0,2021-08-19 18:34:00,32.296875255965006,3529.0,0.4798385398749116
9,BostonVZFatality,1,BOSTON,2021,2021-08-27,1,23:16:04,,0,0,,42.31035694234807,-71.09175104914614,,2021-08-27 23:16:04,BostonVZCrash,39393,BOSTON,2021,2021-08-27,2,23:18:03,,0,0,,42.31035694234807,-71.09175104914614,,2021-08-27 23:18:03,0.0,119.0,0.9900833333333333
