,source,id,muni,year,date,severity,time,police,pedestrian,cyclist,other,lat,lng,interstate,NON_MTRST_TYPE_CL,MOST_HRMFL_EVT_CL
0,MassDOT,4915103,BOSTON,2021,2021-01-02,0,19:38:00,State,0,0,0,,,1,,V1:(Collision with guardrail)
1,MassDOT,4915101,BOSTON,2021,2021-01-02,2,09:13:00,State,0,0,0,42.30394348,-71.05240073,1,,V1:(Collision with guardrail)
2,MassDOT,4915422,BOSTON,2021,2021-01-04,0,15:05:00,State,0,0,0,,,1,,V1:(Collision with median barrier) / V2:(Collision with motor vehicle in traffic)
3,MassDOT,4915421,BOSTON,2021,2021-01-03,0,21:22:00,State,0,0,0,42.2860899,-71.04332247,0,,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)
4,MassDOT,4916193,BOSTON,2021,2021-01-01,0,14:40:00,State,0,0,0,,,0,,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)
5,MassDOT,4916191,BOSTON,2021,2021-01-03,0,11:21:00,State,0,0,0,42.32164029,-71.05087924,0,,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)
6,MassDOT,4916100,BOSTON,2021,2021-01-02,0,09:38:00,State,0,0,0,42.36263876,-71.05502616,0,,V1:(Collision with median barrier)
7,MassDOT,4916686,BOSTON,2021,2021-01-05,0,09:05:00,State,0,0,0,,,0,,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)
8,MassDOT,4916685,BOSTON,2021,2021-01-05,0,09:43:00,State,0,0,0,42.35917402,-71.06163178,0,,V1:(Other)
9,MassDOT,4916640,BOSTON,2021,2021-01-05,1,11:22:00,Local,1,0,0,42.37877957,-71.05259423,0, VU2: Pedestrian,V1:(Collision with pedestrian)
10,MassDOT,4917070,BOSTON,2021,2021-01-06,2,12:25:00,State,0,0,0,42.2980327,-71.04914345,0,,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)
11,MassDOT,4917069,BOSTON,2021,2021-01-01,0,10:50:00,State,0,0,0,42.32934983,-71.03520715,0,,V1:(Collision with parked motor vehicle) / V2:(Collision with parked motor vehicle)
12,MassDOT,4917790,BOSTON,2021,2021-01-06,0,23:03:00,State,0,0,0,42.34759106,-71.08529952,1,,
13,MassDOT,4917783,BOSTON,2021,2021-01-07,2,14:38:00,State,0,0,0,42.32164029,-71.05087924,0,,V1:(Collision with light pole or other post/support)
14,MassDOT,4917556,BOSTON,2021,2021-01-09,2,17:30:00,State,0,0,0,42.3415007,-71.06296297,1,,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)
15,MassDOT,4917555,BOSTON,2021,2021-01-06,0,02:42:00,State,0,0,0,42.35707263,-71.05143494,1,,V1:(Collision with motor vehicle in traffic)
16,MassDOT,4917554,BOSTON,2021,2021-01-05,0,16:31:00,State,0,0,0,42.35812039,-71.05138669,1,,V1:(Collision with motor vehicle in traffic) / V2:(Collision with motor vehicle in traffic)
