source,id,muni,date,time,severity,police,pedestrian,cyclist,lat,lng,rpa,interstate
MDOT,5342291,Reading,01/01/2024,12:08 AM,2,Local,,,42.5200,-71.1159,MAPC,
MDOT,5358633,Lexington,01/01/2024,12:35 AM,2,Local,,,42.4329,-71.2337,MAPC,
MDOT,5348494,Cambridge,01/01/2024,12:45 AM,,Local,,,42.3868,-71.1192,MAPC,
MDOT,5344711,Peabody,01/01/2024,12:50 AM,2,Local,,,42.5338,-70.9297,MAPC,
MDOT,5361180,Boston,01/01/2024,1:30 AM,,Local,,,42.3509,-71.1154,MAPC,
MDOT,5352635,Wellesley,01/01/2024,1:36 AM,2,Local,1,,42.3163,-71.2690,MAPC,
MDOT,5346738,Boston,01/01/2024,1:48 AM,,State,,,,,MAPC,1
MDOT,5343231,Revere,01/01/2024,1:51 AM,,State,,,42.4009,-70.9875,MAPC,
MDOT,5346192,Boston,01/01/2024,2:10 AM,,State,,,42.3584,-71.1575,MAPC,
MDOT,5345593,Wilmington,01/01/2024,2:30 AM,2,State,,,42.5886,-71.1617,MAPC,1
MDOT,5361121,Boston,01/01/2024,2:30 AM,,Local,,,42.3508,-71.0668,MAPC,
MDOT,5361218,Needham,01/01/2024,2:54 AM,2,Local,,,42.2939,-71.2473,MAPC,
MDOT,5346169,Cambridge,01/01/2024,3:15 AM,2,State,,,42.3571,-71.0935,MAPC,
MDOT,5368268,Lynn,01/01/2024,3:19 AM,,Local,,,42.4787,-70.9703,MAPC,
MDOT,5361275,Boston,01/01/2024,3:28 AM,2,Local,,,42.3009,-71.0837,MAPC,
MDOT,5352487,Boston,01/01/2024,4:10 AM,2,State,,,42.3482,-71.0471,MAPC,1
MDOT,5347795,Cambridge,01/01/2024,4:15 AM,2,State,,,42.3614,-71.1159,MAPC,
MDOT,5346229,Chelsea,01/01/2024,4:52 AM,,Local,,,42.3998,-71.0315,MAPC,
MDOT,5361156,Boston,01/01/2024,5:00 AM,,Local,,,42.3186,-71.0618,MAPC,
MDOT,5345977,Middleton,01/01/2024,5:50 AM,2,Local,,,42.5931,-70.9909,MAPC,
MDOT,5480824,Boston,01/01/2024,6:40 AM,2,Local,,,42.3638,-71.0634,MAPC,
MDOT,5362015,Malden,01/01/2024,8:15 AM,,Local,,,42.4213,-71.0581,MAPC,
MDOT,5343745,Sharon,01/01/2024,8:30 AM,,State,,,42.1122,-71.2319,MAPC,1
MDOT,5361132,Boston,01/01/2024,9:15 AM,2,Local,,,42.2911,-71.0975,MAPC,
MDOT,5356514,Weymouth,01/01/2024,9:31 AM,,Local,,,42.2552,-70.9304,MAPC,
MDOT,5358188,Milford,01/01/2024,9:31 AM,,Local,,,42.1481,-71.5094,MAPC,
MDOT,5374725,Marshfield,01/01/2024,10:08 AM,,Local,,,42.0908,-70.7082,MAPC,
MDOT,5344559,Framingham,01/01/2024,11:31 AM,,Local,,,42.3185,-71.4223,MAPC,
MDOT,5361476,Wrentham,01/01/2024,11:52 AM,2,Local,,,42.0361,-71.3469,MAPC,
MDOT,5343242,Hopkinton,01/01/2024,11:56 AM,,Local,,,42.2097,-71.5527,MAPC,
MDOT,5345363,Gloucester,01/01/2024,12:16 PM,,Local,,,,,MAPC,
MDOT,5347946,Brookline,01/01/2024,12:20 PM,2,State,,,42.2992,-71.1469,MAPC,
MDOT,5348455,Cambridge,01/01/2024,12:47 PM,,Local,,,42.3632,-71.1105,MAPC,
MDOT,5343737,Peabody,01/01/2024,1:38 PM,,State,,,42.5396,-70.9383,MAPC,
MDOT,5342693,Arlington,01/01/2024,1:46 PM,2,Local,1,,42.4232,-71.1835,MAPC,
MDOT,5344597,Wellesley,01/01/2024,1:46 PM,,Local,,,42.3146,-71.2678,MAPC,
MDOT,5350861,Malden,01/01/2024,2:18 PM,,State,,,42.4374,-71.0236,MAPC,
MDOT,5343299,Revere,01/01/2024,2:19 PM,2,Local,,,42.4348,-70.9730,MAPC,
MDOT,5344543,Hopkinton,01/01/2024,2:41 PM,,Local,,,42.2242,-71.4731,MAPC,
MDOT,5343103,Woburn,01/01/2024,2:50 PM,,Local,,,42.5037,-71.1380,MAPC,
MDOT,5345302,Marlborough,01/01/2024,2:51 PM,,Local,,,42.3425,-71.5586,MAPC,
MDOT,5362017,Malden,01/01/2024,3:01 PM,,Local,,,42.4202,-71.0691,MAPC,
MDOT,5417169,Maynard,01/01/2024,3:08 PM,,Local,,,42.4374,-71.4524,MAPC,
MDOT,5357530,Swampscott,01/01/2024,3:13 PM,,Local,,,42.4814,-70.9028,MAPC,
MDOT,5344693,Peabody,01/01/2024,3:15 PM,,Local,,,42.5355,-70.9168,MAPC,
MDOT,5368410,Lynn,01/01/2024,3:17 PM,,Local,,,42.4681,-70.9429,MAPC,
MDOT,5344690,Peabody,01/01/2024,3:20 PM,,Local,,,42.5462,-70.9465,MAPC,
MDOT,5346243,Chelsea,01/01/2024,3:58 PM,,Local,,,42.3958,-71.0285,MAPC,
MDOT,5347787,Canton,01/01/2024,4:01 PM,,State,,,42.2038,-71.1426,MAPC,1
MDOT,5357561,Ashland,01/01/2024,4:02 PM,2,Local,,,42.2412,-71.4375,MAPC,
MDOT,5351654,Winthrop,01/01/2024,4:10 PM,,State,,,42.3824,-70.9726,MAPC,
MDOT,5342491,Melrose,01/01/2024,4:34 PM,,Local,,,42.4569,-71.0612,MAPC,
MDOT,5345913,North Reading,01/01/2024,4:46 PM,,Local,,,42.5963,-71.0867,MAPC,
MDOT,5368446,Lynn,01/01/2024,4:59 PM,2,Local,,,42.4636,-70.9457,MAPC,
MDOT,5342823,Marlborough,01/01/2024,5:10 PM,,Local,,,42.3388,-71.5901,MAPC,
MDOT,5346537,Sherborn,01/01/2024,5:20 PM,,Local,,,42.2593,-71.3746,MAPC,
MDOT,5346236,Chelsea,01/01/2024,5:49 PM,,Local,,,42.3894,-71.0336,MAPC,
MDOT,5342955,Hudson,01/01/2024,6:02 PM,,Local,,,42.4016,-71.5678,MAPC,
MDOT,5358202,Milford,01/01/2024,6:08 PM,2,Local,,1,42.1412,-71.5196,MAPC,
MDOT,5348158,Gloucester,01/01/2024,6:09 PM,,Local,,,42.5944,-70.6890,MAPC,
MDOT,5344281,Maynard,01/01/2024,7:23 PM,,Local,,,42.4326,-71.4481,MAPC,
MDOT,5361158,Boston,01/01/2024,7:24 PM,,Local,,,42.3414,-71.0449,MAPC,
MDOT,5348161,Gloucester,01/01/2024,7:36 PM,,Local,,,42.6188,-70.6672,MAPC,
MDOT,5344898,Boston,01/01/2024,8:16 PM,,State,,,42.2999,-71.0481,MAPC,1
MDOT,5344897,Boston,01/01/2024,8:26 PM,2,State,,,42.3031,-71.0511,MAPC,1
MDOT,5343295,Revere,01/01/2024,8:35 PM,1,Local,,,42.4203,-71.0240,MAPC,
MDOT,5351700,Dedham,01/01/2024,8:43 PM,,Local,,,42.2325,-71.1766,MAPC,
MDOT,5356559,Weymouth,01/01/2024,9:03 PM,2,Local,,,42.1820,-70.9552,MAPC,
MDOT,5345881,North Reading,01/01/2024,10:25 PM,,Local,,,42.5890,-71.1163,MAPC,
MDOT,5354460,Brookline,01/01/2024,10:30 PM,,Local,,,42.3441,-71.1143,MAPC,
MDOT,5347251,Quincy,01/01/2024,11:30 PM,,State,,,,,MAPC,
MDOT,5343666,Waltham,01/02/2024,12:27 AM,2,Local,,,42.3745,-71.2343,MAPC,
MDOT,5353739,Boston,01/02/2024,12:35 AM,,Local,,,,,MAPC,
MDOT,5344894,Dedham,01/02/2024,1:07 AM,2,Local,,,42.2544,-71.1512,MAPC,
MDOT,5542325,Weymouth,01/02/2024,1:07 AM,2,Local,,,42.1767,-70.9553,MAPC,
MDOT,5361169,Boston,01/02/2024,1:12 AM,,Local,,,42.2830,-71.1308,MAPC,
MDOT,5343279,Revere,01/02/2024,1:18 AM,,Local,,,42.3956,-70.9902,MAPC,
MDOT,5361947,Somerville,01/02/2024,1:30 AM,,Local,,,42.3922,-71.0925,MAPC,
MDOT,5344892,Boston,01/02/2024,1:45 AM,,State,,,42.2937,-71.1460,MAPC,
MDOT,5347250,Sharon,01/02/2024,2:55 AM,,State,,,42.1011,-71.2277,MAPC,1
MDOT,5345106,Marlborough,01/02/2024,4:36 AM,2,State,,,42.3638,-71.5915,MAPC,1
MDOT,5343303,Sharon,01/02/2024,4:47 AM,,Local,,,42.1364,-71.1640,MAPC,
MDOT,5346721,Boston,01/02/2024,5:40 AM,,State,,,42.3570,-71.0514,MAPC,1
MDOT,5347051,Burlington,01/02/2024,5:52 AM,,Local,,,42.4778,-71.2150,MAPC,
MDOT,5350275,Newton,01/02/2024,6:08 AM,2,Local,,,42.3410,-71.2386,MAPC,
MDOT,5356069,Quincy,01/02/2024,6:08 AM,,Local,,,42.2608,-71.0136,MAPC,
MDOT,5350433,Cambridge,01/02/2024,6:16 AM,,Local,,,42.3973,-71.1303,MAPC,
MDOT,5345115,Boston,01/02/2024,6:25 AM,,State,,,42.3577,-71.1541,MAPC,1
MDOT,5342442,Everett,01/02/2024,6:30 AM,,Local,,,42.4061,-71.0563,MAPC,
MDOT,5345678,Boston,01/02/2024,6:33 AM,,State,,,42.3086,-71.1217,MAPC,
MDOT,5376947,Bellingham,01/02/2024,6:36 AM,2,Local,,,42.1221,-71.4559,MAPC,
MDOT,5344992,Westwood,01/02/2024,6:47 AM,,Local,,,42.2110,-71.1497,MAPC,
MDOT,5347266,Salem,01/02/2024,7:00 AM,,Local,,,42.5208,-70.9127,MAPC,
MDOT,5358432,Holbrook,01/02/2024,7:10 AM,,Local,,,42.1437,-71.0234,MAPC,
MDOT,5346196,Braintree,01/02/2024,7:13 AM,,State,,,,,MAPC,1
MDOT,5356516,Weymouth,01/02/2024,7:21 AM,,Local,,,42.1856,-70.9554,MAPC,
MDOT,5391629,Randolph,01/02/2024,7:23 AM,,Local,,,42.1585,-71.0434,MAPC,
MDOT,5348197,Milton,01/02/2024,7:27 AM,,Local,,,42.2492,-71.0650,MAPC,
